PetID,Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID
0,Cat,3,Tabby,None,Male,Black,White,None,Small,Short,No,No,No,Healthy,1,100,Selangor,7684150
1,Cat,1,Domestic Medium Hair,None,Male,Black,Brown,None,Medium,Medium,Not Sure,Not Sure,Not Sure,Healthy,1,0,Kuala Lumpur,163037
2,Dog,1,Mixed Breed,None,Male,Brown,White,None,Medium,Medium,Yes,Yes,No,Healthy,1,0,Selangor,4836523
3,Dog,4,Mixed Breed,None,Female,Black,Brown,None,Medium,Short,Yes,Yes,No,Healthy,1,150,Kuala Lumpur,425005
4,Dog,1,Mixed Breed,None,Male,Black,None,None,Medium,Short,No,No,No,Healthy,1,0,Selangor,8745727
5,Cat,3,Domestic Short Hair,None,Female,Cream,Gray,None,Medium,Short,No,No,No,Healthy,1,0,Selangor,704989
6,Cat,12,Domestic Long Hair,Domestic Long Hair,Male,Black,None,None,Medium,Long,No,No,Not Sure,Healthy,1,300,Selangor,1104148
7,Dog,0,Mixed Breed,None,Female,Black,Brown,White,Medium,Short,No,No,No,Healthy,6,0,Selangor,9093074
8,Cat,2,Domestic Medium Hair,None,Female,Gray,None,None,Medium,Medium,No,No,No,Healthy,1,0,Selangor,6389855
9,Cat,12,Domestic Medium Hair,None,Female,Black,White,None,Medium,Medium,Not Sure,Not Sure,Not Sure,Healthy,1,0,Selangor,8419317
10,Dog,2,Mixed Breed,None,Male,Black,Brown,White,Medium,Short,No,Yes,No,Healthy,1,0,Kuala Lumpur,8072151
11,Cat,3,Domestic Long Hair,None,Female,Black,Brown,Cream,Large,Long,Yes,Yes,No,Healthy,1,50,Selangor,5267328
12,Dog,2,Mixed Breed,None,Male,Brown,Cream,Gray,Medium,Long,Yes,Yes,No,Healthy,1,0,Selangor,3378265
13,Cat,2,Domestic Medium Hair,None,Mixed,Black,Gray,White,Small,Medium,No,No,Not Sure,Healthy,7,0,Selangor,2817431
14,Dog,3,Mixed Breed,None,Female,Brown,Cream,White,Medium,Medium,Not Sure,Not Sure,Not Sure,Healthy,1,0,Kuala Lumpur,8625583
15,Dog,78,Terrier,Shih Tzu,Male,Black,White,None,Medium,Medium,Not Sure,Not Sure,Not Sure,Healthy,1,0,Selangor,9251671
16,Cat,6,Domestic Short Hair,None,Female,Brown,None,None,Small,Short,Yes,Yes,Yes,Healthy,1,0,Selangor,9092461
17,Dog,8,Mixed Breed,Mixed Breed,Female,Brown,None,None,Medium,Short,No,Yes,Yes,Healthy,1,10,Perak,1190873
18,Dog,2,Mixed Breed,None,Female,Black,None,None,Medium,Short,No,Yes,No,Healthy,1,0,Kuala Lumpur,1236945
19,Cat,1,Domestic Short Hair,None,Mixed,Black,Brown,White,Small,Short,No,No,No,Healthy,5,0,Selangor,7677135
20,Dog,12,Mixed Breed,None,Female,Brown,White,None,Medium,Medium,No,Yes,Yes,Healthy,1,0,Selangor,3711236
21,Dog,3,Mixed Breed,None,Female,Gray,None,None,Medium,Short,No,Yes,No,Healthy,3,0,Selangor,4424390
22,Cat,0,Greyhound,None,Mixed,Golden,Gray,White,Medium,Medium,No,No,Not Sure,Healthy,10,0,Kuala Lumpur,2479762
23,Dog,10,Mixed Breed,Hound,Female,Black,Brown,White,Medium,Medium,Yes,Yes,Yes,Healthy,1,0,Selangor,3098861
24,Cat,3,Domestic Short Hair,None,Male,Brown,White,None,Small,Short,No,Yes,No,Healthy,1,0,Kuala Lumpur,230781
25,Cat,36,Persian,British Shorthair,Male,Golden,None,None,Large,Medium,Yes,Yes,Yes,Healthy,1,0,Selangor,6315648
26,Cat,2,Persian,Domestic Medium Hair,Male,Golden,None,None,Medium,Medium,No,No,No,Healthy,1,0,Kuala Lumpur,4825253
27,Cat,1,Domestic Short Hair,None,Female,Black,None,None,Medium,Short,No,No,No,Healthy,1,0,Selangor,8756299
